,cst,gdx
0,9.999000266291462,9.966728726216111
1,9.995857524949596,9.86008441010978
2,9.988529702031533,9.620917065354764
3,9.973729647095906,9.113564190337227
4,9.947957407420642,8.224834145638127
5,9.90879067088016,6.889401979386703
6,9.857266630010345,5.092878224405376
7,9.801884584621117,3.190097064163751
8,9.784776564294868,2.57724826726552
9,9.774563718353134,2.2456406230319517
10,9.773795324121979,2.2237079658624004
11,9.773719821068948,2.221601654758609
12,9.77368255522826,2.2206085688959183
13,9.773646974758972,2.2195584288544223
14,9.77364667968785,2.219551723884272
15,9.77364278731315,2.2194761278414137
16,9.77355238482035,2.2160825318112254
17,9.773301929939521,2.1916095908089663
18,9.773157276717482,2.1874232495618857
19,9.77309446107339,2.1860550462890056
20,9.773023530756616,2.183071928440841
21,9.77282507532224,2.162304571228448
22,9.77236485432341,2.148151429973153
23,9.771910970897553,2.127074600060966
24,9.771499411018512,2.1102194001862635
25,9.77143883633829,2.109000720753351
26,9.771409072593883,2.108182815839569
27,9.771814881186481,2.0819161141209555
28,9.771680105146503,2.0714894812909157
29,9.771632663201485,2.040865682422845
30,9.771569790650927,2.0393291443119
31,9.77152892169545,2.0375386988325057
32,9.77151703972885,2.0372499372280886
33,9.771507643641943,2.036995918692815
34,9.771504834899137,2.0366050535848506
35,9.771504580669664,2.0365971382113983
36,9.77150458060915,2.0365971371018503
37,9.771504580196305,2.036597112029358
38,9.771504580146836,2.0365971112829437
39,9.771504580041046,2.036597108859956
40,9.771504582623985,2.0365967130467197
41,9.771504582422827,2.0365967101834945
42,9.771504582419327,2.0365967101292894
43,9.77150458135862,2.036596565606298
44,9.771504596832209,2.0365869417502793
45,9.771504097444366,2.0365174552969827
46,9.771504094343344,2.036517397407409
47,9.771504318136714,2.0364873650288913
48,9.771503686849295,2.0364635117039307
49,9.771503866675884,2.036345601902178
50,9.771505786197993,2.034905927335443
51,9.771490944454628,2.0345978381715772
52,9.771488758099313,2.0345429103781716
53,9.771485081595833,2.0342382902274116
54,9.771477485721253,2.034047503301871
55,9.77147673875615,2.0328602351943337
56,9.771431477032008,2.0320159730277063
57,9.771429003614916,2.0319798166988794
58,9.771428701681007,2.0319745229552892
59,9.771427428460395,2.0318639316820697
60,9.771425872434627,2.0313903108006803
61,9.771407308696437,2.031093696542172
62,9.771395609521523,2.030674729794799
63,9.771845700793149,2.0209970406008657
64,9.771649345201881,2.00698016974212
65,9.77137232099367,1.9981264846207942
66,9.771299371914198,1.9967622312522773
67,9.771249578969895,1.994348004485306
68,9.771219065494144,1.9938821965450575
69,9.771194116413321,1.9926458994006795
70,9.771177523467808,1.9918441487725478
71,9.771259891673358,1.9875613040890965
72,9.77117064460117,1.9795635924374286
73,9.771523679408109,1.9651915348447861
74,9.771241356825051,1.958087308765345
75,9.77110872236815,1.9566125802184373
76,9.771100232107836,1.9565102848098523
77,9.771100227092022,1.9565102576159827
78,9.7711002266522,1.9565102507248926
79,9.771100226411546,1.956510237079115
80,9.771100226376563,1.9565102367768923
81,9.771100226356486,1.9565102358764486
82,9.771100226771539,1.9565102202516471
83,9.771100226755157,1.956510220116054
84,9.771100226754942,1.9565102201126463
85,9.771100226754916,1.9565102201076885
86,9.771100226754898,1.9565102201070104
87,9.771100226754896,1.9565102201069784
88,9.771100226758522,1.9565102200281945
89,9.771100226764567,1.9565102198021258
90,9.771100226763934,1.9565102197905013
91,9.771100226763688,1.9565102197859927
92,9.771100226762835,1.9565102197554864
93,9.771100226762835,1.956510219755484
94,9.771100226762787,1.9565102197536832
95,9.771100226763878,1.9565102197115438
96,9.771100226763448,1.956510219700122
97,9.771100226763416,1.956510219699554
98,9.771100226763286,1.9565102196825006
99,9.771100226763265,1.9565102196822413
100,9.77110022676384,1.956510219666003
101,9.771100226791523,1.9565102192093802
102,9.771100226791043,1.9565102189276458
103,9.771100226773765,1.9565102185727619
104,9.771100226773301,1.9565102185671963
105,9.771100226815241,1.9565102178217018
106,9.771100226805153,1.956510217679687
107,9.77110022643563,1.9565101673944074
108,9.77110022595898,1.9565101117508827
109,9.771100347508234,1.9565077629494447
110,9.771100338458993,1.9565074512336693
111,9.771100337294177,1.9565074331369314
112,9.771100337116186,1.9565074240617373
113,9.771100369892551,1.9565067133416338
114,9.771100369377434,1.9565066825664488
115,9.771100369243296,1.9565066548564607
116,9.771100370226062,1.9565065395417043
117,9.771100367386484,1.956506487653919
118,9.771100365999978,1.9565064238490997
119,9.77110035329613,1.9565061783570825
120,9.771100888240586,1.9565006514165442
121,9.77110087045635,1.95650044844095
122,9.771100857502981,1.9565001302024265
123,9.771100850089292,1.9565000279822764
124,9.77110085532772,1.9564992749431223
125,9.77110085526707,1.956499274565507
126,9.771100855264155,1.9564992744901424
127,9.77110085526203,1.9564992744266074
128,9.77110086138373,1.9564992063725213
129,9.771100860916288,1.956499130962013
130,9.771100931126748,1.9564979935383822
131,9.771100917473259,1.956497141238572
132,9.77110101796054,1.956486021969414
133,9.771100211908422,1.9564294289648243
134,9.771186251795331,1.9554519054117405
135,9.771168691967183,1.9551195875230474
136,9.771197212005056,1.9531323646150185
137,9.771158464482241,1.9525279369322768
138,9.771114881691693,1.9520131725096581
139,9.77111005187446,1.9505978741716925
140,9.771076401332799,1.9502196211566896
141,9.771074741745885,1.9498011485421762
142,9.771069975977989,1.9497295222575417
143,9.77106745652967,1.949636798089057
144,9.771062182217491,1.9492696524915032
145,9.771042498579865,1.9490695700204743
146,9.771040345743902,1.9490408919736353
147,9.771070126809317,1.9486138004199982
148,9.771067333713995,1.9485824684676478
149,9.77106696443182,1.9485782645939969
150,9.771066939966325,1.9485778840539025
151,9.77106694189861,1.9485770179765514
152,9.771067845304009,1.9485582966424988
153,9.771068106865252,1.9485402061548085
154,9.771067998195935,1.9485380168861957
155,9.771067996308018,1.9485380064344948
156,9.771067996174665,1.948538005306215
157,9.771067995304026,1.9485379960587121
158,9.771067995165707,1.9485379906132954
159,9.771067995150014,1.9485379903435105
160,9.771067995147037,1.9485379903081892
161,9.771067995147737,1.948537990027562
162,9.771067995192674,1.948537989492228
163,9.771067995187236,1.9485379894062689
164,9.77106799518699,1.9485379893853965
165,9.77106799518694,1.9485379893849653
166,9.771067995186977,1.948537989383661
167,9.771067995186943,1.9485379893830612
168,9.771067995302774,1.9485379887277765
169,9.771067995631965,1.948537980173724
170,9.771067995538015,1.9485379788806878
171,9.771067995503849,1.9485379773282294
172,9.771067995494615,1.9485379772380504
173,9.771067995498383,1.9485379769569955
174,9.771067995582495,1.9485379751254281
175,9.771067995594688,1.948537972935595
176,9.771067995403623,1.9485379706981998
177,9.77106799532239,1.9485379651334773
178,9.771067995328886,1.9485379603075792
179,9.771067995286401,1.9485379597356416
180,9.771067996042737,1.948537949820265
181,9.771067996027396,1.9485379494015271
182,9.771067996020609,1.9485379493229222
183,9.771067996122223,1.9485379467042958
184,9.771067997368188,1.9485379226199282
185,9.771067999038555,1.948537794619202
186,9.771067997268245,1.9485377613095698
187,9.771067996404303,1.9485377545928793
188,9.77106800307556,1.9485377045384542
189,9.771068006624116,1.9485373578583736
190,9.771068005256419,1.9485372918063597
191,9.771068016448865,1.9485369258223937
192,9.771068016435684,1.9485369257874237
193,9.77106801643672,1.9485369257423302
194,9.77106801643653,1.948536925740856
195,9.771068016436487,1.948536925740676
196,9.771068016436486,1.948536925740661
197,9.771068016436558,1.9485369257400607
198,9.771068016436553,1.9485369257397347
199,9.771068016436562,1.9485369257386183
200,9.771068016436544,1.9485369257383682
201,9.771068016437402,1.9485369257218297
202,9.771068016437402,1.948536925721826
203,9.771068016437402,1.9485369257218192
204,9.771068016437804,1.9485369257176497
205,9.771068016437802,1.948536925716987
206,9.771068016438429,1.9485369257016623
